나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,14.0,맑음,51.3,2.5,티셔츠,스카이블루,발목,데님,무지,팬츠,스카이블루,발목,데님,무지,11
20대,남성,스트리트,14.0,맑음,51.3,2.5,후드티,스카이블루,발목,데님,무지,팬츠,스카이블루,발목,데님,무지,11
20대,남성,스트리트,14.0,맑음,51.3,2.5,패딩,스카이블루,발목,데님,무지,청바지,스카이블루,발목,데님,무지,11
20대,남성,스트리트,14.0,맑음,51.3,2.5,티셔츠,스카이블루,발목,데님,무지,팬츠,스카이블루,발목,데님,무지,11
30대,남성,스트리트,13.0,비,93.0,3.2,짚업,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,13
20대,남성,스트리트,16.6,비,55.9,1.8,티셔츠,핑크,노멀,데님,무지,청바지,핑크,발목,데님,무지,11
20대,남성,스트리트,16.6,비,55.9,1.8,티셔츠,핑크,노멀,데님,무지,팬츠,핑크,노멀,데님,무지,11
20대,남성,스트리트,13.0,비,93.0,3.2,재킷,핑크,노멀,데님,무지,청바지,핑크,노멀,데님,무지,13
20대,남성,스트리트,15.4,맑음,37.5,2.0,재킷,블랙,노멀,패딩,무지,청바지,블랙,노멀,데님,무지,18
30대,남성,스트리트,15.9,비,59.6,2.1,재킷,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,11
30대,남성,스트리트,15.9,비,59.6,2.1,점퍼,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,11
20대,남성,스트리트,15.9,비,59.6,2.1,점퍼,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,11
20대,남성,스트리트,15.9,비,59.6,2.1,재킷,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,11
30대,남성,스트리트,15.4,맑음,37.5,2.0,니트웨어,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,18
20대,남성,스트리트,15.4,맑음,37.5,2.0,후드티,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,18
20대,남성,스트리트,15.9,비,59.6,2.1,후드티,카키,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,11
20대,남성,스트리트,12.2,맑음,32.0,1.8,티셔츠,화이트,노멀,우븐,무지,청바지,화이트,발목,데님,무지,18
20대,남성,스트리트,12.2,맑음,32.0,1.8,점퍼,브라운,발목,데님,무지,청바지,브라운,발목,우븐,무지,18
20대,남성,스트리트,14.6,안개,55.3,2.8,재킷,브라운,발목,우븐,무지,청바지,브라운,발목,우븐,무지,11
20대,남성,스트리트,14.6,안개,55.3,2.8,짚업,브라운,발목,우븐,무지,청바지,브라운,발목,우븐,무지,11
20대,남성,스트리트,14.6,안개,55.3,2.8,셔츠,그레이,노멀,우븐,깅엄,팬츠,그레이,발목,우븐,체크,11
20대,남성,스트리트,14.6,안개,55.3,2.8,후드티,그레이,노멀,우븐,깅엄,팬츠,그레이,노멀,우븐,깅엄,11
20대,남성,스트리트,14.6,안개,55.3,2.8,셔츠,그레이,노멀,우븐,깅엄,팬츠,그레이,노멀,우븐,깅엄,11
20대,남성,스트리트,12.2,맑음,32.0,1.8,재킷,그레이,노멀,우븐,깅엄,청바지,그레이,노멀,우븐,깅엄,18
20대,남성,스트리트,12.2,맑음,32.0,1.8,재킷,그레이,노멀,우븐,깅엄,팬츠,그레이,노멀,우븐,깅엄,18
20대,남성,스트리트,7.6,비,73.0,2.8,패딩,그레이,노멀,우븐,깅엄,청바지,그레이,발목,우븐,무지,9
20대,남성,스트리트,7.6,비,73.0,2.8,셔츠,핑크,발목,우븐,무지,팬츠,화이트,발목,데님,무지,9
10대,남성,스트리트,7.6,비,73.0,2.8,셔츠,핑크,발목,우븐,무지,청바지,핑크,발목,우븐,무지,9
20대,남성,스트리트,7.6,비,73.0,2.8,셔츠,핑크,발목,우븐,무지,팬츠,핑크,발목,우븐,무지,9
20대,남성,스트리트,7.6,비,73.0,2.8,셔츠,핑크,발목,우븐,무지,청바지,핑크,발목,우븐,무지,9
20대,남성,스트리트,7.6,비,73.0,2.8,셔츠,핑크,발목,우븐,무지,청바지,핑크,발목,우븐,무지,9
20대,남성,스트리트,10.3,비,81.8,1.8,짚업,블랙,발목,가죽,무지,청바지,블랙,발목,가죽,무지,13
20대,남성,스트리트,11.8,비,87.4,3.1,재킷,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,11.8,비,87.4,3.1,티셔츠,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,11.8,비,87.4,3.1,셔츠,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,10.3,비,81.8,1.8,재킷,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,11.8,비,87.4,3.1,셔츠,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,10.3,비,81.8,1.8,재킷,스카이블루,발목,우븐,무지,팬츠,스카이블루,발목,우븐,무지,13
20대,남성,스트리트,10.3,비,81.8,1.8,후드티,핑크,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,13
20대,남성,스트리트,10.3,비,81.8,1.8,점퍼,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,13
20대,남성,스트리트,10.3,비,81.8,1.8,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,13
20대,남성,스트리트,10.3,비,81.8,1.8,패딩,브라운,노멀,우븐,타이다이,스커트,브라운,노멀,우븐,타이다이,13
30대,남성,스트리트,10.3,비,81.8,1.8,재킷,브라운,노멀,우븐,타이다이,스커트,브라운,노멀,우븐,타이다이,13
20대,남성,스트리트,10.4,맑음,68.4,2.0,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,9
20대,남성,스트리트,10.4,맑음,68.4,2.0,점퍼,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,9
20대,남성,스트리트,10.4,맑음,68.4,2.0,후드티,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,9
20대,남성,스트리트,10.4,맑음,68.4,2.0,재킷,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,9
20대,남성,스트리트,10.4,맑음,68.4,2.0,셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,9
20대,남성,스트리트,7.4,비,77.3,2.6,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,점퍼,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,재킷,브라운,노멀,우븐,타이다이,청바지,브라운,노멀,우븐,타이다이,17
30대,남성,스트리트,7.4,비,77.3,2.6,셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
10대,남성,스트리트,7.4,비,77.3,2.6,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,패딩,브라운,노멀,우븐,타이다이,스커트,브라운,노멀,우븐,타이다이,17
30대,남성,스트리트,7.4,비,77.3,2.6,티셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,니트웨어,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,7.4,비,77.3,2.6,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,17
20대,남성,스트리트,10.4,비,57.0,3.4,후드티,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,5
20대,남성,스트리트,10.4,비,57.0,3.4,후드티,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,5
20대,남성,스트리트,10.4,비,57.0,3.4,셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,5
20대,남성,스트리트,10.4,비,57.0,3.4,재킷,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,5
30대,남성,스트리트,10.4,비,57.0,3.4,티셔츠,브라운,노멀,우븐,타이다이,팬츠,브라운,노멀,우븐,타이다이,5
30대,남성,스트리트,4.4,맑음,46.5,3.4,점퍼,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,14
20대,남성,스트리트,6.7,비,60.8,3.7,짚업,카키,노멀,우븐,무지,청바지,카키,노멀,우븐,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,재킷,스카이블루,노멀,패딩,무지,팬츠,카키,노멀,우븐,무지,1
20대,남성,스트리트,6.7,비,60.8,3.7,티셔츠,스카이블루,노멀,패딩,무지,팬츠,스카이블루,노멀,패딩,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,재킷,스카이블루,노멀,패딩,무지,팬츠,스카이블루,노멀,패딩,무지,1
20대,남성,스트리트,6.7,비,60.8,3.7,패딩,스카이블루,노멀,패딩,무지,팬츠,스카이블루,노멀,패딩,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,니트웨어,스카이블루,노멀,패딩,무지,청바지,스카이블루,노멀,패딩,무지,4
20대,남성,스트리트,6.7,비,60.8,3.7,후드티,스카이블루,발목,우븐,무지,청바지,스카이블루,발목,우븐,무지,4
