성별,나이,촬영일,촬영지역,이미지 파일명,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속
남성,20대,2024-04-05,신사/압구정,list.street_list_660f6882c7f06.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f689d5949a.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f68af7bce6.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f7dbba53f6.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f7dd1831a1.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f7de7163f9.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f7e0568925.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-05,신사/압구정,list.street_list_660f7e1a80af2.jpg,14.0,맑음,51.3,2.5
남성,20대,2024-04-03,홍대/신촌,list.street_list_660cd17ac843a.jpg,16.6,비,55.9,1.8
남성,30대,2024-04-03,부산/경남,list.street_list_660cd1a2063fe.jpg,13.0,비,93.0,3.2
남성,20대,2024-04-03,기타 서울,list.street_list_660cb8668b5c8.jpg,16.6,비,55.9,1.8
남성,20대,2024-04-03,홍대/신촌,list.street_list_660cb8d1d8d1a.jpg,16.6,비,55.9,1.8
남성,20대,2024-04-03,홍대/신촌,list.street_list_660cb8ebc4ff7.jpg,16.6,비,55.9,1.8
남성,20대,2024-04-03,홍대/신촌,list.street_list_660cb9050eaf5.jpg,16.6,비,55.9,1.8
남성,20대,2024-04-03,부산/경남,list.street_list_660cd03e81486.jpg,13.0,비,93.0,3.2
남성,20대,2024-04-03,홍대/신촌,list.street_list_660cd08d81bd0.jpg,16.6,비,55.9,1.8
남성,20대,2024-04-02,홍대/신촌,list.street_list_660ba7acbcadd.jpg,15.4,맑음,37.5,2.0
남성,20대,2024-04-02,홍대/신촌,list.street_list_660ba8f5bc448.jpg,15.4,맑음,37.5,2.0
남성,20대,2024-04-02,부산/경남,list.street_list_660babe599294.jpg,15.9,비,59.6,2.1
남성,30대,2024-04-02,부산/경남,list.street_list_660b887b9fa01.jpg,15.9,비,59.6,2.1
남성,30대,2024-04-02,부산/경남,list.street_list_660b8c3de3363.jpg,15.9,비,59.6,2.1
남성,20대,2024-04-02,부산/경남,list.street_list_660b8dbc5392d.jpg,15.9,비,59.6,2.1
남성,20대,2024-04-02,부산/경남,list.street_list_660b9a3b18a69.jpg,15.9,비,59.6,2.1
남성,30대,2024-04-02,홍대/신촌,list.street_list_660b9e591df14.jpg,15.4,맑음,37.5,2.0
남성,20대,2024-04-02,홍대/신촌,list.street_list_660ba0c1386b2.jpg,15.4,맑음,37.5,2.0
남성,20대,2024-04-02,부산/경남,list.street_list_660ba57f5251f.jpg,15.9,비,59.6,2.1
남성,20대,2024-04-01,기타 서울,list.street_list_660a6e7070e55.jpg,12.2,맑음,32.0,1.8
남성,20대,2024-04-01,홍대/신촌,list.street_list_660a6a3c7a061.jpg,12.2,맑음,32.0,1.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a6b39051fb.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a743e8d754.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a5a79978d4.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a5b5dd8441.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a5d23b43d9.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,부산/경남,list.street_list_660a5ea535708.jpg,14.6,안개,55.3,2.8
남성,20대,2024-04-01,홍대/신촌,list.street_list_660a6273e029a.jpg,12.2,맑음,32.0,1.8
남성,20대,2024-04-01,홍대/신촌,list.street_list_660a6691a5016.jpg,12.2,맑음,32.0,1.8
남성,20대,2024-03-29,홍대/신촌,list.street_list_6603b4538d846.jpg,7.6,비,73.0,2.8
남성,20대,2024-03-29,홍대/신촌,list.street_list_66060c68845fc.jpg,7.6,비,73.0,2.8
남성,10대,2024-03-29,홍대/신촌,list.street_list_66060c838bde6.jpg,7.6,비,73.0,2.8
남성,20대,2024-03-29,홍대/신촌,list.street_list_66060ca117b7f.jpg,7.6,비,73.0,2.8
남성,20대,2024-03-29,홍대/신촌,list.street_list_66060d1f35e13.jpg,7.6,비,73.0,2.8
남성,20대,2024-03-29,홍대/신촌,list.street_list_66060d4f76861.jpg,7.6,비,73.0,2.8
남성,20대,2024-03-28,홍대/신촌,list.street_list_66051fb347ae0.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_66052ae8238d9.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,부산/경남,list.street_list_6604fbd82a8e5.jpg,11.8,비,87.4,3.1
남성,20대,2024-03-28,부산/경남,list.street_list_6604fd203b92c.jpg,11.8,비,87.4,3.1
남성,20대,2024-03-28,부산/경남,list.street_list_6604fddf27392.jpg,11.8,비,87.4,3.1
남성,20대,2024-03-28,홍대/신촌,list.street_list_6604fec2dbff0.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,부산/경남,list.street_list_6604ff7e80d40.jpg,11.8,비,87.4,3.1
남성,20대,2024-03-28,홍대/신촌,list.street_list_660629f74c782.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,부산/경남,list.street_list_66061981d28d5.jpg,11.8,비,87.4,3.1
남성,20대,2024-03-28,기타 서울,list.street_list_65faabfa6f569.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_6605057d5ade0.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_66062b8b1a714.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_6605067248a80.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_66062bb537f19.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-28,신사/압구정,list.street_list_660507183afe2.jpg,10.3,비,81.8,1.8
남성,30대,2024-03-28,신사/압구정,list.street_list_66062cdd5dadd.jpg,10.3,비,81.8,1.8
남성,20대,2024-03-27,홍대/신촌,list.street_list_6603a2607e1ae.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-27,홍대/신촌,list.street_list_6603a386bf5ab.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-27,홍대/신촌,list.street_list_6603a43b06485.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-27,홍대/신촌,list.street_list_6603aa62d3564.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-27,홍대/신촌,list.street_list_6603b51dc0e21.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-27,홍대/신촌,list.street_list_66039fdc4d91b.jpg,10.4,맑음,68.4,2.0
남성,20대,2024-03-26,홍대/신촌,list.street_list_66027260a706f.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,기타 서울,list.street_list_6602633559eea.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,기타 서울,list.street_list_660265d8baa51.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_660269b0658f6.jpg,7.4,비,77.3,2.6
남성,30대,2024-03-26,홍대/신촌,list.street_list_6606296fb4706.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_66026cfa63aa3.jpg,7.4,비,77.3,2.6
남성,30대,2024-03-26,기타 서울,list.street_list_660136b243e46.jpg,7.4,비,77.3,2.6
남성,10대,2024-03-26,홍대/신촌,list.street_list_6601390eb1d71.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_66013981b1a4f.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_66013bf6eb30e.jpg,7.4,비,77.3,2.6
남성,30대,2024-03-26,기타 서울,list.street_list_660629a7f2fce.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_6601308ff33fe.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,홍대/신촌,list.street_list_660131236cd89.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-26,신사/압구정,list.street_list_66013625ea27b.jpg,7.4,비,77.3,2.6
남성,20대,2024-03-22,기타 서울,list.street_list_65fd4a4a231da.jpg,10.4,비,57.0,3.4
남성,20대,2024-03-22,기타 서울,list.street_list_65fd4a7d4357a.jpg,10.4,비,57.0,3.4
남성,20대,2024-03-22,기타 서울,list.street_list_65fd4ad246991.jpg,10.4,비,57.0,3.4
남성,20대,2024-03-22,기타 서울,list.street_list_65fd4b14a1191.jpg,10.4,비,57.0,3.4
남성,30대,2024-03-22,기타 서울,list.street_list_65fd4b26a008b.jpg,10.4,비,57.0,3.4
남성,20대,2024-03-20,홍대/신촌,list.street_list_65faae39aeadf.jpg,4.4,맑음,46.5,3.4
남성,20대,2024-03-20,기타 서울,list.street_list_65faa8b2ca7d3.jpg,4.4,맑음,46.5,3.4
남성,20대,2024-03-20,기타 서울,list.street_list_65faa7df35402.jpg,4.4,맑음,46.5,3.4
남성,30대,2024-03-20,홍대/신촌,list.street_list_65faa0c93c88a.jpg,4.4,맑음,46.5,3.4
남성,20대,2024-03-19,신사/압구정,list.street_list_66062cb1e1ddc.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,신사/압구정,list.street_list_65f924ba0e213.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f936734fcfc.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,신사/압구정,list.street_list_65f938029fc55.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f9387cd6f32.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f939085fcf8.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,기타 서울,list.street_list_65f9102c41b30.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,기타 서울,list.street_list_65f911c2440fe.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,기타 서울,list.street_list_66062c64a273b.jpg,6.7,비,60.8,3.7
남성,10대,2024-03-19,기타 서울,list.street_list_65f916d9bcf3b.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,기타 서울,list.street_list_65f919559162c.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f91baa17ab4.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f91ce240ada.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f92254dedc2.jpg,6.7,비,60.8,3.7
남성,20대,2024-03-19,홍대/신촌,list.street_list_65f92311d1ab6.jpg,6.7,비,60.8,3.7
남성,30대,2024-03-18,신사/압구정,list.street_list_66062d1219d21.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,신사/압구정,list.street_list_66062d2b4a73c.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,신사/압구정,list.street_list_65f7c2f490156.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7c3f6090cd.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,기타 서울,list.street_list_65f7c59d9855c.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_66062de38d076.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7c7e913b97.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7ca42428b0.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7cf92e2315.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,신사/압구정,list.street_list_65f7d83b9377b.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7e6d7a306c.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,신사/압구정,list.street_list_65f7e83a7ac1e.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,신사/압구정,list.street_list_65f7e8d75a32f.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7e9ddb158f.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,홍대/신촌,list.street_list_65f7eb2261ecb.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-18,기타 서울,list.street_list_65f7ecdc23ec9.jpg,7.1,맑음,28.6,2.4
남성,20대,2024-03-15,기타 서울,list.street_list_65f42a92228dc.jpg,8.9,안개,68.5,2.3
남성,20대,2024-03-15,기타 서울,list.street_list_65f42aa7d566a.jpg,8.9,안개,68.5,2.3
남성,20대,2024-03-15,기타 서울,list.street_list_65f42abd17f01.jpg,8.9,안개,68.5,2.3
남성,30대,2024-03-15,기타 서울,list.street_list_65f42b11452e9.jpg,8.9,안개,68.5,2.3
남성,20대,2024-03-15,기타 서울,list.street_list_65f42b2de1c8b.jpg,8.9,안개,68.5,2.3
남성,20대,2024-03-15,기타 서울,list.street_list_65f42b4475cd6.jpg,8.9,안개,68.5,2.3
남성,20대,2024-03-15,기타 서울,list.street_list_65f42b56f3a02.jpg,8.9,안개,68.5,2.3
남성,30대,2024-03-14,기타 서울,list.street_list_65f29c79a7de9.jpg,8.5,안개,58.3,
남성,20대,2024-03-14,기타 서울,list.street_list_65f29c9ecb3e2.jpg,8.5,안개,58.3,
남성,20대,2024-03-14,기타 서울,list.street_list_65f3eb27981c4.jpg,8.5,안개,58.3,
