성별,나이,촬영일,촬영지역,이미지 파일명,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속
여성,20대,2024-04-05,신사/압구정,list.street_list_660f685f41c6f.jpg,14,맑음,51.3,2.5
여성,30대,2024-04-05,신사/압구정,list.street_list_660f68c92f666.jpg,14,맑음,51.3,2.5
여성,10대,2024-04-03,홍대/신촌,list.street_list_660cd121a1baa.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd13216160.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd14195fbd.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd152e0b59.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd162108d3.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd191d4427.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd1d1738a9.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd1ea045e6.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd10307ab3.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,기타 서울,list.street_list_660cb80e566ed.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,기타 서울,list.street_list_660cb830305df.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,기타 서울,list.street_list_660cb84bb2b49.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,기타 서울,list.street_list_660cb881cc460.jpg,16.6,비,55.9,1.8
여성,10대,2024-04-03,기타 서울,list.street_list_660cb89b09ee7.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cb8b7a6ea2.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cb91576aac.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cb92621212.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd00a1bef1.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd01e6e01d.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd02e95c79.jpg,16.6,비,55.9,1.8
여성,10대,2024-04-03,홍대/신촌,list.street_list_660cd0b88723b.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-03,홍대/신촌,list.street_list_660cd0dd32cdb.jpg,16.6,비,55.9,1.8
여성,20대,2024-04-02,홍대/신촌,list.street_list_660ba702e46c6.jpg,15.4,맑음,37.5,2
여성,30대,2024-04-02,홍대/신촌,list.street_list_660ba844e3fa0.jpg,15.4,맑음,37.5,2
여성,30대,2024-04-02,기타 서울,list.street_list_660ba96f779d5.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660ba9eeaa809.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,기타 서울,list.street_list_660baa6a62967.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,부산/경남,list.street_list_660bab45d0c7e.jpg,15.9,비,59.6,2.1
여성,20대,2024-04-02,홍대/신촌,list.street_list_660bad56a23a6.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b8f7f4fd73.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b8fb52dc1b.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b91a7d68d5.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b932b17d6a.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b960918594.jpg,15.4,맑음,37.5,2
여성,30대,2024-04-02,홍대/신촌,list.street_list_660b972a5c969.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b98eab3c5d.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660badd513a58.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b997123c32.jpg,15.4,맑음,37.5,2
여성,10대,2024-04-02,부산/경남,list.street_list_660b9b072a403.jpg,15.9,비,59.6,2.1
여성,20대,2024-04-02,홍대/신촌,list.street_list_660b9c866f42a.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660ba45f0a212.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-02,홍대/신촌,list.street_list_660ba50414e9f.jpg,15.4,맑음,37.5,2
여성,20대,2024-04-01,신사/압구정,list.street_list_660a6db2603cb.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a6f6d75153.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a696dd6c7f.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a69d7b7631.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a6ab3a8140.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,부산/경남,list.street_list_660a6bc515c46.jpg,14.6,안개,55.3,2.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a6cdcc2f15.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,부산/경남,list.street_list_660a5e1ce6edb.jpg,14.6,안개,55.3,2.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a5f1ebeb54.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a5f9544065.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a606402ab5.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a62e53ade2.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a6397544ae.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a64da87194.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a659967365.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a67162aa05.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a67b1dcb44.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a68006af14.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a689521ca7.jpg,12.2,맑음,32,1.8
여성,20대,2024-04-01,홍대/신촌,list.street_list_660a68f3882fb.jpg,12.2,맑음,32,1.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_6603b3cfc9a9b.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_66013320a32d9.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_65faa1642e163.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_66060c3c7c15c.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_66060c547d87a.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_6606193574afe.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_66061964b23c0.jpg,7.6,비,73,2.8
여성,20대,2024-03-29,홍대/신촌,list.street_list_66060d3510c89.jpg,7.6,비,73,2.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_66051f442e712.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,기타 서울,list.street_list_65fbf1821faa3.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_66052b72c590c.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_660619b61fd0a.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_66051bd16d8cf.jpg,10.3,비,81.8,1.8
여성,30대,2024-03-28,기타 서울,list.street_list_660500a255a01.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,기타 서울,list.street_list_660629c2b8e56.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_660124489077e.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_6605011ccc257.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,홍대/신촌,list.street_list_6605034c9158a.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,도쿄/관동,list.street_list_66062a7427d51.jpg,11.1,비,,9.9
여성,20대,2024-03-28,기타 서울,list.street_list_66062ae6260b0.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,기타 서울,list.street_list_6605043fed344.jpg,10.3,비,81.8,1.8
여성,20대,2024-03-28,신사/압구정,list.street_list_65f923c1985e3.jpg,10.3,비,81.8,1.8
여성,30대,2024-03-27,홍대/신촌,list.street_list_66061a36ea606.jpg,10.4,맑음,68.4,2
여성,10대,2024-03-27,홍대/신촌,list.street_list_66062405b6659.jpg,10.4,맑음,68.4,2
여성,10대,2024-03-27,홍대/신촌,list.street_list_6603b8ac2b0df.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_660628b885f4f.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603b9ba90433.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603baa2ccf69.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603bb3b1f6cc.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603bbd2d9402.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603bc461a3a3.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603bd334219c.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603a184f3646.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603a51d51aa5.jpg,10.4,맑음,68.4,2
여성,20대,2024-03-27,홍대/신촌,list.street_list_6603a648cd7af.jpg,10.4,맑음,68.4,2
